name,description
Alpha Rampage,"Alpha Rampage is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 1, defends for 3, has 9 power, and has the abilities; **Rhinar Specialization**

As an additional cost to play Alpha Rampage, discard a random card.

When you attack with Alpha Rampage, **intimidate**."
Ancestral Empowerment,"Ancestral Empowerment is a 'Ninja – Attack Reaction' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 3, has None power, and has the abilities; Target Ninja attack action card gains +1{p}.

Draw a card."
Anothos,"Anothos is a 'Guardian Weapon – Hammer (2H)' card from the 'Welcome to Rathe' set. It has 4 power and the abilities; **Once per turn Action** - {r}{r}{r}: **Attack**

While there are 2 or more cards with cost 3 or greater in your pitch zone, Anothos has +2{p}."
Awakening Bellow (Red),"Awakening Bellow (Red) is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 3, has None power, and has the abilities; The next Brute attack action card you play this turn gains +3{p}.

**Intimidate**

**Go again**"
Awakening Bellow (Yellow),"Awakening Bellow (Yellow) is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has None power, and has the abilities; The next Brute attack action card you play this turn gains +2{p}.

**Intimidate**

**Go again**"
Awakening Bellow (Blue),"Awakening Bellow (Blue) is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 3, has None power, and has the abilities; The next Brute attack action card you play this turn gains +1{p}.

**Intimidate**

**Go again**"
Barkbone Strapping,"Barkbone Strapping is a 'Brute Equipment – Chest' card from the 'Welcome to Rathe' set. It defends for 1 and has the abilities; **Instant** - Destroy Barkbone Strapping: Roll a 6 die. Gain {r} equal to half the number rolled, rounded down.

**Battleworn**"
Barraging Beatdown (Red),"Barraging Beatdown (Red) is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 1, defends for 3, has None power, and has the abilities; Your next Brute attack this turn gains ""While this attack is defended by less than 2 non-equipment cards, it has +4{p}.""

**Intimidate**

**Go again**"
Barraging Beatdown (Yellow),"Barraging Beatdown (Yellow) is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 2, defends for 3, has None power, and has the abilities; Your next Brute attack this turn gains ""While this attack is defended by less than 2 non-equipment cards, it has +3{p}.""

**Intimidate**

**Go again**"
Barraging Beatdown (Blue),"Barraging Beatdown (Blue) is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for 3, has None power, and has the abilities; Your next Brute attack this turn gains ""While this attack is defended by less than 2 non-equipment cards, it has +2{p}.""

**Intimidate**

**Go again**"
Barraging Brawnhide (Red),"Barraging Brawnhide (Red) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 1, defends for 2, has 7 power, and has the abilities; While Barraging Brawnhide is defended by less than 2 non-equipment cards, it has +1{p}."
Barraging Brawnhide (Yellow),"Barraging Brawnhide (Yellow) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 2, defends for 2, has 6 power, and has the abilities; While Barraging Brawnhide is defended by less than 2 non-equipment cards, it has +1{p}."
Barraging Brawnhide (Blue),"Barraging Brawnhide (Blue) is a 'Generic Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 2, has 5 power, and has the abilities; While Barraging Brawnhide is defended by less than 2 non-equipment cards, it has +1{p}."
Biting Blade (Red),"Biting Blade (Red) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 3, has None power, and has the abilities; Target weapon attack gains +3{p}.

**Reprise** - If the defending hero has defended with a card from their hand this chain link, weapons you control gain +1{p} until end of turn"
Biting Blade (Yellow),"Biting Blade (Yellow) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 3, has None power, and has the abilities; Target weapon attack gains +2{p}.

**Reprise** - If the defending hero has defended with a card from their hand this chain link, weapons you control gain +1{p} until end of turn"
Biting Blade (Blue),"Biting Blade (Blue) is a 'Warrior Attack Reaction' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 3, has None power, and has the abilities; Target weapon attack gains +1{p}.

**Reprise** - If the defending hero has defended with a card from their hand this chain link, weapons you control gain +1{p} until end of turn"
Blackout Kick (Red),"Blackout Kick (Red) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 1, defends for 3, has 4 power, and has the abilities; **Combo** - If Rising Knee Thrust was the last attack this combat chain, Blackout Kick gains +3{p}."
Blackout Kick (Yellow),"Blackout Kick (Yellow) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has 3 power, and has the abilities; **Combo** - If Rising Knee Thrust was the last attack this combat chain, Blackout Kick gains +3{p}."
Blackout Kick (Blue),"Blackout Kick (Blue) is a 'Ninja Action – Attack' card from the 'Welcome to Rathe' set. It costs 1, pitches for 3, defends for 3, has 2 power, and has the abilities; **Combo** - If Rising Knee Thrust was the last attack this combat chain, Blackout Kick gains +3{p}."
Blessing of Deliverance (Red),"Blessing of Deliverance (Red) is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 3, has None power, and has the abilities; **Go again**

When Blessing of Deliverance enters the arena, if you have a card with cost 3 or greater in your pitch zone, draw a card.

At the beginning of your action phase, destroy Blessing of Deliverance then reveal the top 3 cards of your deck. Gain 1{h} for each card with cost 3 or greater revealed this way."
Blessing of Deliverance (Yellow),"Blessing of Deliverance (Yellow) is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 3, has None power, and has the abilities; **Go again**

When Blessing of Deliverance enters the arena, if you have a card with cost 3 or greater in your pitch zone, draw a card.

At the beginning of your action phase, destroy Blessing of Deliverance then reveal the top 2 cards of your deck. Gain 1{h} for each card with cost 3 or greater revealed this way."
Blessing of Deliverance (Blue),"Blessing of Deliverance (Blue) is a 'Guardian Action – Aura' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 3, has None power, and has the abilities; **Go again**

When Blessing of Deliverance enters the arena, if you have a card with cost 3 or greater in your pitch zone, draw a card.

At the beginning of your action phase, destroy Blessing of Deliverance then reveal the top card of your deck. Gain 1{h} for each card with cost 3 or greater revealed this way."
Bloodrush Bellow,"Bloodrush Bellow is a 'Brute Action' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for 3, has None power, and has the abilities; As an additional cost to play Bloodrush Bellow, discard a random card.

Your Brute attacks gain +2{p} this turn.

If the discarded card has 6 or more {p}, draw 2 cards and Bloodrush Bellow gains **go again**."
Bone Head Barrier,"Bone Head Barrier is a 'Brute Instant' card from the 'Welcome to Rathe' set. It costs 1, pitches for 2, defends for None, has None power, and has the abilities; Roll a 6 sided die. Prevent the next X damage that would be dealt to your hero this turn, where X is the number rolled."
Braveforge Bracers,"Braveforge Bracers is a 'Warrior Equipment – Arms' card from the 'Welcome to Rathe' set. It defends for 2 and has the abilities; **Once per turn Action** - {r}: Your next weapon attack this turn gains +1{p}. Activate this ability only if a weapon you control has hit this turn. **Go again**

**Battleworn**"
Bravo,"Bravo is a 'Guardian Hero – Young' card from the 'Welcome to Rathe' set. It costs None, pitches for None, defends for None, has None power, and has the abilities; **Action** - {r}{r}: Until end of turn, your attack action cards with cost 3 or greater gains **dominate**. **Go again**"
"Bravo, Showstopper","Bravo, Showstopper is a 'Guardian Hero' card from the 'Welcome to Rathe' set. It costs None, pitches for None, defends for None, has None power, and has the abilities; **Action** - {r}{r}: Until end of turn, your attack action cards with cost 3 or greater gains **dominate**. **Go again**"
Breaking Scales,"Breaking Scales is a 'Ninja Equipment – Arms' card from the 'Welcome to Rathe' set. It defends for 1 and has the abilities; **Attack Reaction** - Destroy Breaking Scales: Target attack action card with **combo** gains +1{p}.

**Battleworn**"
Breakneck Battery (Red),"Breakneck Battery (Red) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 1, defends for 3, has 6 power, and has the abilities; As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more {p}, Breakneck Battery gains **go again**."
Breakneck Battery (Yellow),"Breakneck Battery (Yellow) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 2, defends for 3, has 5 power, and has the abilities; As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more {p}, Breakneck Battery gains **go again**."
Breakneck Battery (Blue),"Breakneck Battery (Blue) is a 'Brute Action – Attack' card from the 'Welcome to Rathe' set. It costs 2, pitches for 3, defends for 3, has 4 power, and has the abilities; As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more {p}, Breakneck Battery gains **go again**."
Buckling Blow (Red),"Buckling Blow (Red) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 4, pitches for 1, defends for 3, has 8 power, and has the abilities; **Crush** - If Buckling Blow deals 4 or more damage to a hero, put a -1{d} counter on target equipment they control."
Buckling Blow (Yellow),"Buckling Blow (Yellow) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 4, pitches for 2, defends for 3, has 7 power, and has the abilities; **Crush** - If Buckling Blow deals 4 or more damage to a hero, put a -1{d} counter on target equipment they control."
Buckling Blow (Blue),"Buckling Blow (Blue) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 4, pitches for 3, defends for 3, has 6 power, and has the abilities; **Crush** - If Buckling Blow deals 4 or more damage to a hero, put a -1{d} counter on target equipment they control."
Cartilage Crush (Red),"Cartilage Crush (Red) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 1, defends for 3, has 7 power, and has the abilities; **Crush** - If Cartilage Crush deals 4 or more damage to a hero, their first action during their next turn costs an additional {r}."
Cartilage Crush (Yellow),"Cartilage Crush (Yellow) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 2, defends for 3, has 6 power, and has the abilities; **Crush** - If Cartilage Crush deals 4 or more damage to a hero, their first action during their next turn costs an additional {r}."
Cartilage Crush (Blue),"Cartilage Crush (Blue) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 3, defends for 3, has 5 power, and has the abilities; **Crush** - If Cartilage Crush deals 4 or more damage to a hero, their first action during their next turn costs an additional {r}."
Cracked Bauble,"Cracked Bauble is a 'Generic Resource' card from the 'Welcome to Rathe' set. It costs None, pitches for 2, defends for None, has None power, and has the abilities; *(Cracked Bauble exists to support Booster Draft and sealed Deck formats. A player may add any number of Cracked Baubles to their deck. Typically, a player would only do this if they did not have enough legally playable cards to make a 30 card minimum deck.)*"
Cranial Crush,"Cranial Crush is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 6, pitches for 3, defends for 3, has 8 power, and has the abilities; **Crush** - If Cranial Crush deals 4 or more damage to a hero, they can't draw cards during their next action phase"
Crazy Brew,"Crazy Brew is a 'Generic Action – Item' card from the 'Welcome to Rathe' set. It costs 0, pitches for 3, defends for None, has None power, and has the abilities; **Action** - Destroy Crazy Brew: Roll a 6 sided die. On;

- 1 or 2 - Lose 2{h}. **Go again**
- 3 or 4 - Gain 2{h}. **Go again**
- 5 or 6 - Gain {r}{r}, gain 2 action points, and your next attack this turn gains +2{p}."
Crippling Crush,"Crippling Crush is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 7, pitches for 1, defends for 3, has 11 power, and has the abilities; **Bravo Specialization**

**Crush** - If Crippling Crush deals 4 or more damage to a hero, they discard 2 random cards."
Crush Confidence (Red),"Crush Confidence (Red) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 1, defends for 3, has 7 power, and has the abilities; **Crush** - If Crush Confidence deals 4 or more damage to a hero, they lose all hero card effects and activated abilities until the end of their next turn."
Crush Confidence (Yellow),"Crush Confidence (Yellow) is a 'Guardian Action – Attack' card from the 'Welcome to Rathe' set. It costs 3, pitches for 2, defends for 3, has 6 power, and has the abilities; **Crush** - If Crush Confidence deals 4 or more damage to a hero, they lose all hero card effects and activated abilities until the end of their next turn."
